City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ambon,ID,-3.6954,128.1814,82.54,78,40,4.61,scattered clouds
80,Borgentreich,DE,51.5692,9.2411,54.91,66,100,18.81,overcast clouds
81,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,76,75,11.01,broken clouds
82,Lasa,IT,46.6166,10.7002,58.69,95,98,4.45,overcast clouds
83,Lavrentiya,RU,65.5833,-171.0,-12.93,95,78,8.19,broken clouds
84,Ust-Nera,RU,64.5667,143.2,-4.49,100,100,5.61,overcast clouds
85,Atar,MR,20.5169,-13.0499,88.32,14,0,9.8,clear sky
86,Vila Velha,BR,-20.3297,-40.2925,85.95,84,40,10.36,scattered clouds
87,Yar-Sale,RU,66.8333,70.8333,20.52,92,100,29.04,light snow
88,Talnakh,RU,69.4865,88.3972,24.96,96,100,9.13,snow
89,Rumford,US,44.5537,-70.5509,48.96,64,100,2.93,overcast clouds
90,Sakakah,SA,29.9697,40.2064,94.5,5,0,14.07,clear sky
91,Busselton,AU,-33.65,115.3333,62.58,74,100,7.83,overcast clouds
92,Serra Talhada,BR,-7.9919,-38.2983,83.98,52,98,7.56,overcast clouds
93,Leningradskiy,RU,69.3833,178.4167,-6.05,96,100,20.76,light snow
94,Ilulissat,GL,69.2167,-51.1,23.02,86,75,4.61,light snow
95,Mastung,PK,29.7994,66.845,78.89,10,13,8.97,few clouds
96,High Level,CA,58.5169,-117.136,21.2,99,100,1.9,overcast clouds
97,Bethel,US,41.3712,-73.414,48.07,91,100,11.5,light rain
98,Boyolangu,ID,-8.1181,111.8935,76.77,86,25,4.36,scattered clouds
99,Isabela,PH,6.7085,121.9711,75.47,96,100,4.85,overcast clouds
100,Pizarro,CO,4.9533,-77.366,78.82,87,100,4.12,overcast clouds
101,Tucumcari,US,35.1717,-103.725,35.44,48,0,4.61,clear sky
102,Flinders,AU,-34.5833,150.8552,66.38,91,100,5.01,light rain
103,Bengkulu,ID,-3.8004,102.2655,78.08,85,92,0.56,light rain
104,Mataura,NZ,-46.1927,168.8643,44.08,86,95,5.66,overcast clouds
105,Sinop,TR,41.7711,34.8709,43.23,92,87,5.44,overcast clouds
106,Itoman,JP,26.1247,127.6694,68.02,65,75,8.05,broken clouds
107,Saint-Philippe,RE,-21.3585,55.7679,81.99,86,100,13.18,light rain
108,Vysokogornyy,RU,50.1167,139.15,20.28,90,100,15.43,light snow
109,Buta,CD,2.7858,24.73,84.45,61,100,6.69,overcast clouds
110,Puerto Madryn,AR,-42.7692,-65.0385,60.1,72,14,7.61,few clouds
111,Litovko,RU,49.2361,135.1742,24.6,74,21,15.77,few clouds
112,San Patricio,US,28.017,-97.5169,73.49,92,0,9.78,clear sky
113,Shenzhen,CN,22.5455,114.0683,77.07,65,86,7.14,overcast clouds
114,Mehamn,NO,71.0357,27.8492,35.51,73,100,23.67,overcast clouds
115,Southbridge,US,42.0751,-72.0334,46.26,96,100,3.0,light rain
116,Avarua,CK,-21.2078,-159.775,75.25,94,100,1.14,overcast clouds
117,Castro,BR,-24.7911,-50.0119,69.51,82,90,2.21,overcast clouds
118,Jining,CN,35.405,116.5814,56.21,60,0,5.41,clear sky
119,Mahebourg,MU,-20.4081,57.7,81.25,78,40,10.36,scattered clouds
120,Teya,RU,60.3778,92.6267,36.86,97,100,8.43,overcast clouds
