City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Roma,US,2022-04-03 15:02:03,43.2128,-75.4557,38.08,92,100,5.99
67,Atuona,PF,2022-04-03 15:04:13,-9.8,-139.0333,79.38,70,87,22.32
68,Kapaa,US,2022-04-03 15:00:40,22.0752,-159.319,72.12,85,75,17.27
69,Zhigansk,RU,2022-04-03 14:59:55,66.7697,123.3711,3.38,99,95,8.57
70,Khatanga,RU,2022-04-03 15:04:13,71.9667,102.5,-21.51,100,98,5.61
71,Haines Junction,CA,2022-04-03 15:04:14,60.7522,-137.5108,13.95,99,80,1.68
72,Qaanaaq,GL,2022-04-03 15:04:14,77.484,-69.3632,14.0,73,95,5.97
73,Puerto Ayora,EC,2022-04-03 15:04:15,-0.7393,-90.3518,80.42,79,86,10.13
74,Avarua,CK,2022-04-03 15:04:15,-21.2078,-159.775,73.45,94,100,1.14
75,Belaya Gora,RU,2022-04-03 15:04:16,68.5333,146.4167,-18.74,100,66,1.41
76,Louga,RU,2022-04-03 15:04:16,58.7372,29.8453,35.46,68,100,5.91
77,Karratha,AU,2022-04-03 15:04:16,-20.7377,116.8463,83.16,69,0,11.36
78,Souillac,MU,2022-04-03 15:04:17,-20.5167,57.5167,79.18,78,75,12.66
79,Robertsport,LR,2022-04-03 15:04:17,6.7533,-11.3686,81.05,80,100,10.33
80,Grafton,US,2022-04-03 15:04:18,42.207,-71.6856,48.67,43,20,4.61
81,Nome,US,2022-04-03 15:04:14,64.5011,-165.4064,8.67,56,0,8.05
82,Inhambane,MZ,2022-04-03 15:04:18,-23.865,35.3833,80.6,63,4,12.28
83,Kavaratti,IN,2022-04-03 15:02:35,10.5669,72.642,82.89,72,73,7.52
84,Saint-Denis,FR,2022-04-03 15:04:19,48.9167,2.3333,50.34,38,0,14.97
85,Sao Filipe,CV,2022-04-03 15:04:19,14.8961,-24.4956,71.33,76,40,10.51
86,Ancud,CL,2022-04-03 15:02:11,-41.8697,-73.8203,49.23,72,62,3.33
87,Ternate,ID,2022-04-03 15:04:19,0.8,127.4,80.11,81,98,5.39
88,Ewa Beach,US,2022-04-03 15:02:48,21.3156,-158.0072,74.08,76,86,23.69
89,Svetlogorsk,BY,2022-04-03 15:04:20,52.6333,29.7333,34.11,75,100,8.88
90,Padang,ID,2022-04-03 15:04:20,-0.9492,100.3543,78.75,81,32,1.43
91,Beira,MZ,2022-04-03 15:04:21,-19.8436,34.8389,80.35,76,14,9.75
92,La Ronge,CA,2022-04-03 15:05:24,55.1001,-105.2842,28.35,93,79,4.25
93,Assiniboia,CA,2022-04-03 15:05:25,49.6334,-105.9845,37.87,66,42,12.06
94,Hermanus,ZA,2022-04-03 15:05:25,-34.4187,19.2345,72.81,63,31,12.57
95,Yazoo City,US,2022-04-03 15:05:26,32.8551,-90.4056,66.7,68,0,6.82
96,Torbay,CA,2022-04-03 15:05:26,47.6666,-52.7314,40.28,87,100,21.85
97,Adrar,MR,2022-04-03 15:05:27,20.5022,-10.0711,96.51,7,0,22.26
98,Marawi,PH,2022-04-03 15:05:27,7.9986,124.2928,68.2,97,98,1.19
99,Castro,BR,2022-04-03 15:05:27,-24.7911,-50.0119,66.09,85,100,9.24
100,Quesnel,CA,2022-04-03 15:03:33,52.9999,-122.5029,39.11,66,99,15.35
101,Lexington Park,US,2022-04-03 15:05:28,38.2668,-76.4538,62.28,49,40,10.36
102,Bilibino,RU,2022-04-03 15:05:28,68.0546,166.4372,-1.88,95,100,2.82
103,Taraz,KZ,2022-04-03 15:05:28,42.9,71.3667,63.01,48,100,6.71
104,Alofi,NU,2022-04-03 15:05:29,-19.0595,-169.9187,79.88,73,65,9.01
105,Katiola,CI,2022-04-03 15:01:21,8.1333,-5.1,95.92,34,99,4.94
106,Biltine,TD,2022-04-03 15:05:29,14.5333,20.9167,102.79,6,100,7.45
107,Esperance,AU,2022-04-03 15:04:45,-33.8667,121.9,67.41,84,100,10.27
108,Aksu,CN,2022-04-03 15:05:30,41.1231,80.2644,63.05,25,0,1.95
109,Prado,BR,2022-04-03 15:05:30,-17.3411,-39.2208,84.74,61,31,7.96
110,Fukue,JP,2022-04-03 15:05:30,32.6881,128.8419,55.15,58,0,18.52
111,Sitka,US,2022-04-03 15:05:31,57.0531,-135.33,42.69,75,100,23.02
112,Miandrivazo,MG,2022-04-03 15:05:31,-19.5167,45.4667,83.43,54,1,2.39
113,Hualmay,PE,2022-04-03 15:05:31,-11.0964,-77.6139,72.25,75,29,7.52
114,Buta,CD,2022-04-03 15:05:32,2.7858,24.73,78.71,73,83,8.28
115,San Jose El Idolo,GT,2022-04-03 15:05:32,14.45,-91.4167,86.56,47,28,4.52
116,General Roca,AR,2022-04-03 15:05:32,-39.0333,-67.5833,58.62,23,0,26.15
117,Wick,GB,2022-04-03 15:05:33,58.4333,-3.0833,42.85,87,40,11.5
118,Chuy,UY,2022-04-03 15:05:33,-33.6971,-53.4616,73.47,64,100,11.68
119,Fortuna,US,2022-04-03 15:05:33,40.5982,-124.1573,46.92,91,100,5.75
120,Puerto Penasco,MX,2022-04-03 15:05:34,31.3167,-113.5333,65.91,80,40,9.22
121,Starotimoshkino,RU,2022-04-03 15:05:34,53.7191,47.5312,46.49,77,95,17.4
122,Ahipara,NZ,2022-04-03 15:05:34,-35.1667,173.1667,61.97,92,2,2.75
123,Nikolskoye,RU,2022-04-03 15:05:35,59.7035,30.7861,36.88,80,95,5.48
124,Kurchum,KZ,2022-04-03 15:05:35,48.5722,83.6542,37.99,67,46,3.67
125,Port Elizabeth,ZA,2022-04-03 15:05:35,-33.918,25.5701,71.1,91,97,10.0
126,Nanortalik,GL,2022-04-03 15:05:36,60.1432,-45.2371,37.87,81,99,2.53
127,Yamada,JP,2022-04-03 15:05:36,39.4667,141.95,41.29,87,60,5.5
128,Guerrero Negro,MX,2022-04-03 15:05:36,27.9769,-114.0611,60.53,70,71,10.63
129,Kieta,PG,2022-04-03 15:05:37,-6.2167,155.6333,78.35,85,54,1.86
130,Faanui,PF,2022-04-03 15:05:37,-16.4833,-151.75,80.87,76,10,7.54
131,Cayenne,GF,2022-04-03 15:05:37,4.9333,-52.3333,83.08,1,75,16.11
132,Salalah,OM,2022-04-03 15:01:48,17.0151,54.0924,81.9,55,1,0.92
133,Sembe,CG,2022-04-03 15:05:38,1.6481,14.5806,86.18,54,94,4.16
134,Vila Franca Do Campo,PT,2022-04-03 15:05:38,37.7167,-25.4333,63.01,71,15,17.9
135,Olafsvik,IS,2022-04-03 15:02:20,64.8945,-23.7142,40.69,87,100,10.71
136,Chegdomyn,RU,2022-04-03 15:06:38,51.1167,133.0167,37.76,75,100,7.72
137,Zacualpan,MX,2022-04-03 15:06:39,21.25,-105.1667,67.62,64,100,2.82
138,Camargo,MX,2022-04-03 15:06:39,27.6667,-105.1667,68.94,14,97,3.83
139,Carnarvon,AU,2022-04-03 15:06:39,-24.8667,113.6333,78.87,83,100,12.66
140,Merrill,US,2022-04-03 15:03:17,45.1805,-89.6835,40.77,76,0,1.01
141,Barinas,VE,2022-04-03 15:06:40,8.6226,-70.2075,82.2,52,100,5.75
142,Bengkulu,ID,2022-04-03 15:06:40,-3.8004,102.2655,77.9,79,40,3.96
143,Pleasanton,US,2022-04-03 15:04:34,37.6624,-121.8747,58.01,85,0,0.0
144,Kalmunai,LK,2022-04-03 15:06:40,7.4167,81.8167,80.85,76,8,6.49
145,Penalva,BR,2022-04-03 15:06:41,-3.2942,-45.1736,88.74,60,89,5.23
146,Yumen,CN,2022-04-03 15:06:41,40.2833,97.2,49.51,19,0,13.42
147,Saraland,US,2022-04-03 15:06:41,30.8207,-88.0706,72.05,43,0,5.48
148,Ostrovnoy,RU,2022-04-03 15:06:06,68.0531,39.5131,20.01,85,99,9.35
149,Thompson,CA,2022-04-03 15:04:28,55.7435,-97.8558,25.97,88,100,6.22
150,Leningradskiy,RU,2022-04-03 15:06:42,69.3833,178.4167,-20.43,100,100,3.09
151,Zhangye,CN,2022-04-03 15:06:42,38.9342,100.4517,51.44,15,93,6.82
152,Vilyuysk,RU,2022-04-03 15:06:42,63.7553,121.6247,18.37,96,100,6.22
153,Bathsheba,BB,2022-04-03 15:06:43,13.2167,-59.5167,84.81,58,75,19.57
154,Hope,US,2022-04-03 15:06:43,33.6671,-93.5916,65.98,64,0,7.36
155,That Phanom,TH,2022-04-03 15:06:43,16.9364,104.7104,64.89,52,86,12.15
156,Puerto Escondido,MX,2022-04-03 15:06:43,15.85,-97.0667,81.43,89,0,3.44
157,Rreshen,AL,2022-04-03 15:06:44,41.7675,19.8756,52.88,73,93,6.22
158,Victoria,HK,2022-04-03 15:05:01,22.2855,114.1577,66.38,68,0,15.01
159,Sukhobuzimskoye,RU,2022-04-03 15:06:44,56.5,93.2728,18.82,87,47,3.76
160,Cabo San Lucas,MX,2022-04-03 15:06:44,22.8909,-109.9124,69.51,69,0,9.22
161,Lompoc,US,2022-04-03 15:04:20,34.6391,-120.4579,57.13,89,100,4.61
162,Geraldton,AU,2022-04-03 15:06:45,-28.7667,114.6,73.81,88,5,8.05
163,Severo-Kurilsk,RU,2022-04-03 15:06:45,50.6789,156.125,28.96,85,24,13.6
164,Shahr-E Babak,IR,2022-04-03 15:06:45,30.1165,55.1186,71.87,8,89,8.19
165,Inyonga,TZ,2022-04-03 15:06:46,-6.7167,32.0667,75.0,72,97,4.12
166,Pamyat Parizhskoy Kommuny,RU,2022-04-03 15:06:46,56.1048,44.4952,31.95,94,100,10.33
167,Sabang,ID,2022-04-03 15:06:46,5.8933,95.3214,80.76,78,100,12.88
168,Saint-Joseph,RE,2022-04-03 15:06:47,-21.3667,55.6167,73.78,86,95,13.22
169,Hervey Bay,AU,2022-04-03 15:06:47,-25.2986,152.8535,71.02,85,3,5.99
170,Taoudenni,ML,2022-04-03 15:06:47,22.6783,-3.9836,104.32,6,0,23.47
171,Kendari,ID,2022-04-03 15:06:48,-3.945,122.4989,75.43,93,54,3.71
172,Eureka,US,2022-04-03 15:04:01,40.8021,-124.1637,47.19,80,100,3.18
173,Melk,AT,2022-04-03 15:06:48,48.2274,15.3319,42.78,56,100,5.77
174,Ayagoz,KZ,2022-04-03 15:06:48,47.9714,80.4392,40.91,75,33,4.29
175,Sao Joao Da Barra,BR,2022-04-03 15:06:49,-21.6403,-41.0511,86.09,71,10,7.2
176,Charleston,US,2022-04-03 15:05:55,32.7766,-79.9309,71.02,46,0,12.66
177,Bam,IR,2022-04-03 15:06:28,29.106,58.357,82.02,7,44,8.93
178,Malmo,SE,2022-04-03 15:05:27,55.6059,13.0007,46.89,51,22,4.0
179,Belfort,FR,2022-04-03 15:06:49,47.6333,6.8667,39.7,67,99,7.61
180,Agirish,RU,2022-04-03 15:06:49,61.9247,63.0231,25.43,95,100,14.92
181,Pietarsaari,FI,2022-04-03 15:06:50,63.65,22.6833,33.01,63,81,3.0
182,Gadsden,US,2022-04-03 15:06:50,34.0143,-86.0066,63.72,55,0,11.5
183,Benton Harbor,US,2022-04-03 15:06:50,42.1167,-86.4542,41.65,90,100,8.05
184,Bang Saphan,TH,2022-04-03 15:06:51,11.2126,99.5117,74.79,79,90,9.8
185,Mokhsogollokh,RU,2022-04-03 15:07:51,61.4681,128.9203,17.65,96,99,4.0
186,Khon Buri,TH,2022-04-03 15:07:51,14.5254,102.2459,73.53,78,75,4.45
187,Upernavik,GL,2022-04-03 15:07:52,72.7868,-56.1549,16.61,81,79,8.81
188,Gushikawa,JP,2022-04-03 15:07:52,26.3544,127.8686,65.43,82,100,9.22
189,Alexandria,EG,2022-04-03 15:02:55,31.2156,29.9553,69.75,50,56,14.58
190,Cacule,BR,2022-04-03 15:07:52,-14.5033,-42.2222,89.35,32,10,10.69
191,Yerbogachen,RU,2022-04-03 15:07:53,61.2767,108.0108,9.88,97,99,5.73
192,Komsomolskiy,UZ,2022-04-03 15:07:53,40.4272,71.7189,68.25,31,0,5.84
193,Leh,IN,2022-04-03 15:07:53,34.1667,77.5833,27.48,57,47,5.41
194,Iqaluit,CA,2022-04-03 15:06:06,63.7506,-68.5145,24.53,92,75,17.27
195,Naze,JP,2022-04-03 15:07:54,28.3667,129.4833,59.13,67,100,13.49
196,Maningrida,AU,2022-04-03 15:07:54,-12.0667,134.2667,80.31,73,74,4.7
197,Phalombe,MW,2022-04-03 15:07:54,-15.8064,35.6507,74.61,86,41,1.63
198,Bentiu,SS,2022-04-03 15:07:55,9.2333,29.8333,96.98,24,98,1.48
199,Neryungri,RU,2022-04-03 15:07:55,56.6709,124.6491,14.04,92,100,10.27
200,Whitianga,NZ,2022-04-03 15:07:55,-36.8333,175.7,61.02,89,17,3.31
201,Mareeba,AU,2022-04-03 15:07:56,-17.0,145.4333,71.44,94,100,1.83
202,Namibe,AO,2022-04-03 15:07:56,-15.1961,12.1522,74.43,76,96,10.69
203,Monterey,US,2022-04-03 15:07:56,36.2505,-121.2516,55.22,57,100,4.05
204,Cherskiy,RU,2022-04-03 15:07:57,68.75,161.3,-3.87,99,100,4.45
205,Basco,PH,2022-04-03 15:07:57,20.4487,121.9702,74.28,79,100,32.7
206,Biggar,GB,2022-04-03 15:07:57,55.6167,-3.5167,46.72,74,100,13.24
207,Vardo,NO,2022-04-03 15:07:57,70.3705,31.1107,28.08,84,100,11.74
